iter	Logloss
0	0.6803055921
1	0.6648027965
2	0.6537601398
3	0.6427982443
4	0.6328810398
5	0.6229619124
6	0.6131827509
7	0.6032235421
8	0.5910212832
9	0.5788451175
10	0.5689886181
11	0.5604864297
12	0.5517189225
13	0.5434311822
14	0.534153529
15	0.5257586703
16	0.5174124733
17	0.5091728712
18	0.5021870883
19	0.4958233308
20	0.4870608398
21	0.4812280103
22	0.4744402319
23	0.4675521247
24	0.4610769629
25	0.4553290462
26	0.4488059377
27	0.4417691631
28	0.4371693795
29	0.4298501362
30	0.424618979
31	0.4183465652
32	0.4126025538
33	0.4068182277
34	0.403020079
35	0.3978596528
36	0.3942995659
37	0.3886768812
38	0.3848356611
39	0.381327831
40	0.3775352266
41	0.3730506072
42	0.3691592557
43	0.3662191239
44	0.3632239235
45	0.3602195994
46	0.3570383389
47	0.3530517825
48	0.3490472644
49	0.3456010415
50	0.34314841
51	0.3407621489
52	0.3382494304
53	0.3356196887
54	0.3333616405
55	0.3312454417
56	0.3291149641
57	0.3267890166
58	0.3242602176
59	0.321899218
60	0.3199903301
61	0.3175145183
62	0.3150302428
63	0.3126853611
64	0.3102255947
65	0.3083520536
66	0.3067158307
67	0.3047849968
68	0.3027459312
69	0.3001486717
70	0.2984316325
71	0.2965282911
72	0.295051978
73	0.2933292582
74	0.2910516864
75	0.2891246477
76	0.2878875624
77	0.285794403
78	0.2841905853
79	0.2828415348
80	0.2815501929
81	0.2797067426
82	0.2786138694
83	0.2773244966
84	0.2757520062
85	0.2742061985
86	0.2724393073
87	0.2709088585
88	0.2694775617
89	0.2686043201
90	0.2674276012
91	0.2658603206
92	0.2644011397
93	0.2636204563
94	0.2625120483
95	0.2613172006
96	0.2599679256
97	0.2586903431
98	0.257561131
99	0.2567377217
100	0.2555175222
101	0.2545033422
102	0.2534419547
103	0.2523721607
104	0.251403525
105	0.250379702
106	0.2495446124
107	0.2486037221
108	0.2477893002
109	0.2471829792
110	0.2462539981
111	0.245357024
112	0.2444089373
113	0.2438106224
114	0.2430917398
115	0.2424681655
116	0.2419347118
117	0.2414726512
118	0.2408872597
119	0.2402982248
120	0.2397934164
