iter	Logloss
121	0.2392834619
122	0.2387859621
123	0.2380391273
124	0.2374755475
125	0.2367018099
126	0.2359853562
127	0.2355853649
128	0.2351928275
129	0.2345562991
130	0.2339572933
131	0.2332303804
132	0.2329102263
133	0.2324546297
134	0.2317095131
135	0.2313806664
136	0.2308792428
137	0.2304707877
138	0.2301654567
139	0.2295781016
140	0.2293062782
141	0.2289929268
142	0.2286232749
143	0.2281257586
144	0.2278763245
145	0.2273080828
146	0.2268513938
147	0.2264234172
148	0.2261800983
149	0.2257285575
150	0.2252539355
151	0.2249791431
152	0.2246023815
153	0.2242521641
154	0.2239819809
155	0.2235112244
156	0.2232518448
157	0.2228064456
158	0.2224942878
159	0.2221524715
160	0.2216519818
161	0.221240704
162	0.2210094471
163	0.2208213881
164	0.2205697902
165	0.2203624957
166	0.2199708449
167	0.2197893103
168	0.2195734211
169	0.2194113442
170	0.2192025943
171	0.21885075
172	0.2186899392
173	0.2185121678
174	0.2182411739
175	0.2180244718
176	0.2177199989
177	0.2175164203
178	0.2172921488
179	0.2169821217
180	0.2167159603
181	0.2164775476
182	0.2162800523
183	0.2161097261
184	0.2160110791
185	0.2157735971
186	0.215641458
187	0.2154673773
188	0.2151262837
189	0.2150506146
190	0.2149728554
191	0.2146740081
192	0.2145382774
193	0.2143724196
194	0.2142103316
195	0.2140388471
196	0.2138737142
197	0.2136406587
198	0.2134891456
199	0.2134074526
200	0.2131922146
201	0.2128600062
202	0.2127313718
203	0.2125824075
204	0.2124832688
205	0.2122964913
206	0.2119930305
207	0.2117846238
208	0.2116296939
209	0.2115710481
210	0.2114371137
211	0.2113047117
212	0.2111864222
213	0.2110074727
214	0.210759362
215	0.2106587976
216	0.2104066695
217	0.21026805
218	0.2101651976
219	0.2100992441
220	0.2099272007
221	0.2097523918
222	0.2096434791
223	0.20948118
224	0.209420356
225	0.2093418994
226	0.2092789732
227	0.2092188115
228	0.2091161163
229	0.2090735334
230	0.2089441653
231	0.2088633271
232	0.2087720801
233	0.2086951097
234	0.2086407122
235	0.2085441256
236	0.2084732098
237	0.2083841938
238	0.2083453609
239	0.2082312681
240	0.2080637053
241	0.2079955352
242	0.2079163085
243	0.2078558717
244	0.207784693
245	0.2076467765
246	0.2075613411
247	0.207477591
248	0.2074150686
249	0.2073116925
250	0.2072449162
251	0.2071802596
252	0.2071214895
253	0.2070524514
254	0.2070100852
255	0.2069340245
256	0.2069047994
257	0.2068441592
258	0.2067424673
259	0.2066645904
260	0.2064718517
261	0.2063494459
262	0.2062766193
263	0.2061731508
264	0.2061047101
265	0.2060399458
266	0.2060031172
267	0.2058964245
268	0.2058348228
269	0.2058061588
270	0.2057734983
271	0.2056467527
272	0.2055862225
273	0.2054832754
274	0.2053828288
275	0.2053103685
276	0.2052056757
277	0.2051398553
278	0.2051141812
279	0.2050469847
280	0.2050155705
281	0.2049658912
282	0.2049183965
283	0.2048933825
284	0.2048385747
285	0.2047903408
286	0.2047420553
287	0.2047095268
288	0.2046890846
289	0.204670101
290	0.2046220937
291	0.2045388034
292	0.204487199
293	0.2044460362
294	0.2044267898
295	0.2043772798
296	0.204326232
297	0.2042742525
298	0.204235754
299	0.2041885619
300	0.2041614258
301	0.2040534582
302	0.2040037458
303	0.2039498225
304	0.2039180431
305	0.2038748893
306	0.2038078236
307	0.2037803004
308	0.2037213762
309	0.2037021275
310	0.2036499775
311	0.2035974985
312	0.2035741301
313	0.2035320983
314	0.2033840063
315	0.2033287959
316	0.2032569077
317	0.2032114679
318	0.2031825124
319	0.2031632318
320	0.2031139749
321	0.2030721268
322	0.2030365226
323	0.2029918056
324	0.2029569604
325	0.202922498
326	0.2028683228
327	0.2027976182
328	0.2027629798
329	0.2026864592
330	0.2026436794
331	0.2026229753
332	0.2025848245
333	0.202555418
334	0.2025281653
335	0.202468843
336	0.2024228081
337	0.2024050555
338	0.2023796168
339	0.2023672435
340	0.2023444823
341	0.2023162264
342	0.2022941484
343	0.2022056945
344	0.2021713939
345	0.2021410974
346	0.2021055977
347	0.2020663138
348	0.2020515292
349	0.2020425197
350	0.202004359
351	0.2019644602
352	0.2018803295
353	0.2018160107
354	0.2017779435
355	0.2017254084
356	0.2017079616
357	0.2016623469
358	0.20165165
359	0.201617741
360	0.2016020147
361	0.201590188
362	0.2015222358
363	0.2014961734
364	0.2014698668
365	0.2014166739
366	0.2014036328
367	0.2013686963
368	0.2013600642
369	0.201350243
370	0.201306274
371	0.2012762074
372	0.2012482057
373	0.201225175
374	0.2011944297
375	0.2011670968
376	0.2011434017
377	0.2011258812
378	0.2010921515
379	0.2010825656
380	0.2010111955
381	0.2009989223
382	0.2009863762
383	0.200941657
384	0.2009113803
385	0.2008841574
386	0.2008484475
387	0.2008163096
388	0.2008058228
389	0.2007791939
390	0.2007334109
391	0.2006952062
392	0.200685396
393	0.2006613654
394	0.2006471043
395	0.2006100876
396	0.2005932074
397	0.2005690041
398	0.2005366846
